categorie,details,adresse,chambres,superficie,prix,image_lien
Appartements à louer,SCI WELLY – Appartements de prestige à louer aux Almadies,"Almadies, Dakar",,,,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4e9bad86ca0f39109eca653de9068607/-/horizon-files-prod/ed/picture/q2jk777q/8b27a77e401d9d0f2f3f6bd302a32b1da12a1bb4.jpg
Appartements à louer,Superbe appartement meublé Dakar plateau,"Plateau, Dakar",1 chambre,,10 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7a62515edfd9925558bbac248836586a/-/horizon-files-prod/ed/picture/qrzrn702/e8cfc7d2dec92209d7b8ad64286ed7937b9e3d0f.jpg
Appartements à louer,Mermoz somptueux trois chambres salon à louer,"Mermoz, Dakar",,,550 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb6fffa120f01be3c59589c1f31f3051/-/horizon-files-prod/ed/picture/qq4z9m7z/d9e07e7e34cb758bb1e40a05754ee6dafb10cc2c.jpg
Appartements à louer,Appartement spacieux à Ngor,"Ngor, Dakar",3 chambre,200 m²,600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5fbbb21c9cf0222d718190082f9e18d7/-/horizon-files-prod/ed/picture/qm5g7g7q/ee16c70888b37e0dbfc95cbd7dff7bec8846f8f0.jpg
Appartements à louer,"Appartement lumineux 3 Chambres – Résidence Aya, Mermoz","Mermoz, Dakar",3 chambre,,1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/51a91fd6cc23954aa9ad950b000e5c69/-/horizon-files-prod/ed/picture/qj465m9r/1e6d90145277cda1e4a62e934c4a61b7f2689fa6.jpg
Appartements à louer,Appartement à louer aux Almadies à la zone de recasement,"Almadies, Dakar",3 chambre,,700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0101aae38136c2e9e3007ac39b310dc7/-/horizon-files-prod/ed/picture/qde7qw02/8808815c38d373c1034c0b975371432b00280873.jpg
Appartements à louer,Studio à louer à Ngor /Almadies,"Almadies, Dakar",1 chambre,,350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/82262842a6d0611e8ec524ab5725ea61/-/horizon-files-prod/ed/picture/q8vm47dp/dd04360b5badc6adf0ff0d4b9592666a4e7230a8.jpg
Appartements à louer,Appartement F3 à louer aux Mamelles cité Mackiou Faye,"Mamelles, Dakar",2 chambre,,450 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7f7747598a0e72f2c9e68e0eb038611f/-/horizon-files-prod/ed/picture/q2jkjw6d/1429c8d3cc084e2a6f067dce9de3360f368bf799.jpg
Appartements à louer,Appartement à louer à Ngor Almadies,"Almadies, Dakar",2 chambre,,500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b578f381d496e313d415bd0a4e62a698/-/horizon-files-prod/ed/picture/qgqmw629/4b1a063e65382eb6ca68c8aceb1e54a5109ecb7b.jpg
Appartements à louer,Appartement à louer à Ngor almadies,"Ngor, Dakar",3 chambre,,700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ff7bb4d4e6cfb1edbffb6e09405fde22/-/horizon-files-prod/ed/picture/qj46qm2d/da2319ef0cd935c2d67155dc403a46af9a431ae9.jpg
Appartements à louer,Très bel appartement corniche almadies,"Almadies, Dakar",3 chambre,150 m²,900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/38d6626479a98b148a892d4f1f93bba9/-/horizon-files-prod/ed/picture/q78j8rdd/d1daf41248ee0b68f4d695dbf0d9d679823af87d.jpg
Appartements à louer,F4 CORNICHE ALMADIES,"Almadies, Dakar",3 chambre,165 m²,1 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c2f9477144678ad69f6a7622b5faf063/-/horizon-files-prod/ed/picture/q56ppxje/722e97457bee2c18d0b682bffc734bffae640478.jpg
Appartements à louer,APPARTEMENT HAUT DAME SUR LA CORNICHE,"Fann, Dakar",224 m²,,1 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5201d93d950cc1e61626c41bc1c73948/-/horizon-files-prod/ed/picture/q78wqq7g/9e9c0c266c64966819d7610d09482084919282b6.jpg
Appartements à louer,APPARTEMENT À LIBERTÉ 6,"Liberte 6 extension, Dakar",2 chambre,135 m²,350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c73ebe5500783b9362ed01af478a59e/-/horizon-files-prod/ed/picture/qwerrgrg/2b5f043de60fdda9b6eb2e267b5cdf42bc7698a4.jpg
Appartements à louer,Location 2 chambres/Salon à Mariste,"Hann maristes, Dakar",2 chambre,80 m²,230 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c14f273b67890974ac360f3743fdfac7/-/horizon-files-prod/ed/picture/qv4wq84g/da918cbed5fdd716f60c9a47f2073eb2ac716986.jpg
Appartements à louer,Appartement et Studios à louer à la cité Dubaï,"Almadies 2, Dakar",2 chambre,,180 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a72354ea3d5f279ecc0329ee0e2b5dba/-/horizon-files-prod/ed/picture/qkr8wrrn/2a37595a17859ab8348cd56bce557272206755ed.jpg
Appartements à louer,Superbe F5 à Mermoz,"Mermoz, Dakar",4 chambre,235 m²,2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5435f6975b63349bebc9d8f64a94a219/-/horizon-files-prod/ed/picture/q78jxvnd/ed8c2eedd17a572bd7c58342d42dfac945132edc.jpg
Appartements à louer,Appartement F3 à louer Cité SIR,"Kounoune, Dakar",2 chambre,100 m²,135 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c1a93913a6fdbe4222a3a64fb4bcf398/-/horizon-files-prod/ed/picture/qj46p0q6/1092694dda946355ca34cf1ede09f4f44935d03e.jpg
Appartements à louer,Appartement F4 à louer aux Almadies,"Almadies, Dakar",3 chambre,,1 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7cfa19349b5a056dfb822060be6f611e/-/horizon-files-prod/ed/picture/q9mkr0pv/1efd39b0f8abaa69429709f23cce685c2f4f51e4.jpg
Appartements à louer,Penthouse avec vue sur mer grande terrasse,"Ngor, Dakar",2 chambre,180 m²,800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/138b20b80bd6dddac89a0e654a460f65/-/horizon-files-prod/ed/picture/q4450rm4/0f404d387ccee70d77bd7c4c2470abf5e85a2cf1.jpg
Appartements à louer,Appartement neuf et moderne à ngor socabeg,"Ngor, Dakar",2 chambre,180 m²,575 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1410583ede22d351a60ccb1b16a8d41d/-/horizon-files-prod/ed/picture/qm500qed/8afb3fa0b958ffb4b91de26699168b786ad5b526.jpg
Appartements à louer,Splendides F3 à Louer aux Almadies,"Almadies, Dakar",2 chambre,,500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/83266e766c2774ac6dd6ccb548845e53/-/horizon-files-prod/ed/picture/q9mjw0r8/a0af27c93770103d850719dc0d8d7fd3c7088b9a.jpg
Appartements à louer,Superbe F3 à Louer à Mbao,"Mbao, Dakar",2 chambre,,160 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9f7a74be186b100d6bb35069e2e3de7f/-/horizon-files-prod/ed/picture/qrz8kxzj/36c1752064c5c9fcc65a09e484a6990ab07faeea.jpg
Appartements à louer,Magnifique F4 à louer,"Sacré-cœur, Dakar",3 chambre,,400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/304d59ba79962b70ec67961b1aa16a01/-/horizon-files-prod/ed/picture/qj46rkd6/9ed8113ea3f1c103365209300fca5cce4ae22db1.jpg
Appartements à louer,Magnifique appartement de type F4 à louer,"Cité keur gorgui, Dakar",3 chambre,,500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4acc5faaa578381c9787d5cf795743ee/-/horizon-files-prod/ed/picture/qq4z2xzz/48a56f801bd2b6877e9398fd998f40ee9479c579.jpg
Appartements à louer,Studio à louer,"Ouakam, Dakar",1 chambre,,200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ce63407eb181abd73b1e70bbfa947871/-/horizon-files-prod/ed/picture/qenrvgp6/dd9c7bc4c9146d46edeeac1b5cc8be44d1a252fa.jpg
Appartements à louer,Magnifique immeuble R+4 à louer,"Sud foire, Dakar",3 chambre,,800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/01968e4e395b0d7069cd0ec4ef9ac232/-/horizon-files-prod/ed/picture/qj464xx5/91084979e709ea50b35c3611f4157ab98f238dc7.jpg
Appartements à louer,Magnifique appartement de type F4 à louer,"Ngor, Dakar",3 chambre,,600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0cfc2d95091a881634f7c6ab3a548aca/-/horizon-files-prod/ed/picture/q6xqd0xz/e0b907de3c8647d3d9fbe7191c3f9f4d32a189e8.jpg
Appartements à louer,Magnifique appartement de type F3 à louer,"Almadies, Dakar",2 chambre,,500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/953af981b9b4f5aa7b2b5ad5b9be7082/-/horizon-files-prod/ed/picture/q445d27m/3e658a2b57221b719fb21dc4ad6e7f1ed0f3d99d.jpg
Appartements à louer,APPARTEMENT F4 EN LOCATION,"Cité keur gorgui, Dakar",3 chambre,188 m²,800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e75f2df44da6168e441f05fbcc885af8/-/horizon-files-prod/ed/picture/q6xdgrqv/ec2ffdd8e44787341fc29e48b181892812d902a2.jpg
Appartements à louer,Magnifique Studio à louer,"Ouakam, Dakar",1 chambre,,175 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/436f3199566e4cca75d08d71140aa264/-/horizon-files-prod/ed/picture/q445jwm4/ffefc2def0068afec247905173c5512651793b11.jpg
Appartements à louer,Studio à louer,"Hann maristes, Dakar",1 chambre,,175 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a44f4fe2f7155ce865694013875884ab/-/horizon-files-prod/ed/picture/qxj8p4gz/dbbdf5b54d3e52f4a2eaad2bfe24477afdcefb95.jpg
Appartements à louer,Magnifique appartement de type F3 à louer,"Ouakam, Dakar",2 chambre,,250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13d8d11eb1c6ef0b948ae24d8aa63e06/-/horizon-files-prod/ed/picture/qq4z2p5w/42ea4723f7fe8c02b6191516ec46ce0509893921.jpg
Appartements à louer,Magnifique Studio à louer,"Almadies, Dakar",1 chambre,,350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c981dd54dde782e077b844c0fe5aef4/-/horizon-files-prod/ed/picture/qq4zdkv6/a22a9f5a6b864836efe7e3a08b87c6b0b50aeafa.jpg
