details,adresse,chambres,superficie,prix,image_lien
Superbe appartement climatisé à Mbao Keur Mbaye Fall,"Mbao, Dakar",,,10 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/96745d4ba63a25a7bffe586798fc067e/-/horizon-files-prod/ed/picture/q0gwnn8g/71fa81131e3c6f45b37b9266d3c9bf123b0c4eb3.jpg
Meuble a Mermoz appartement et studio,"Mermoz, Dakar",3 chambre,,65 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/759aa351a9cb34b1cb8015d8a8d942b2/-/horizon-files-prod/ed/picture/qng974wv/4699430ddad0d18716e44732c48c25c05ec75b67.jpg
Chambres meublées à Keur Massar,"Keur Massar, Dakar",9 chambre,200 m²,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/73770d5bbfa444b85299726ce1d136dc/-/horizon-files-prod/ed/picture/qngxev8r/babb4105e832bed338dde542048206cc59d85666.jpg
Appartement meublé à louer Dakar almadies,"Almadies, Dakar",,,57 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/895a7e6d167a5d3e8071679e4340cd40/-/horizon-files-prod/ed/picture/qgqm4q59/7330d9d273bc6562f2e2f8a00563d486337baa1a.jpg
Studio Meublé sur la vdn,"VDN, Dakar",1 chambre,50 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f95f8d1cf7e88b533563b90b47f4da1a/-/horizon-files-prod/ed/picture/qvqv425/ef32ca951277c2b90a1b532798b99f04cfd4a262.jpg
Appartement meublé F3 à Yoff Almadies,"Ngor, Dakar",2 chambre,,40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0a3107750b91e0737f142b04083a1980/-/horizon-files-prod/ed/picture/migrated/q2k2m4k/bfcb5e53c1a25a616267735b22bdb25922bd8506.jpg
JOLI APPT MEUBLE A LIBERTE 6 EXTENSION,"Liberte 6 extension, Dakar",1 chambre,120 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/54d21be479c0d234222c77e46fbbe707/-/horizon-files-prod/ed/picture/q44nk8d9/62692aa5b0c5028913088ab427eada28c92da873.jpg
Appartement meublé,"Almadies, Dakar",1 chambre,200 m²,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/95dd14a8b2f8724c29763c4a4184c5d9/-/horizon-files-prod/ed/picture/qv4dw58j/5dc2ac2ad0192236c7ae814d6ecd049c89bcc568.jpg
Bel appartement Yoff océan,"Yoff, Dakar",2 chambre,60 m²,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cc47628f72329a72d08c9a30b6d9548b/-/horizon-files-prod/ed/picture/q2957zv/87a00fe220378e4731bc4f665d1b658b11442287.jpg
Appartement Almadies,"Almadies, Dakar",2 chambre,100 m²,40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cfcc581281a56ae7a1e62499b43d0416/-/horizon-files-prod/ed/picture/qkrgwk8p/68530a407bf3c38ddc93a119c47620b754749359.jpg
"Appartement meublé à Ngor, Almadies","Ngor, Dakar",,,45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b4b7a55dcb97b3a45e65771d6a76dab2/-/horizon-files-prod/ed/picture/q6xqr7p7/d7d15c7474b0cb414d23e70b1e2d1d7ee9d39275.jpg
"2 Chambres,Salon meublés aux Mamelles","Mamelles, Dakar",2 chambre,140 m²,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c22d155e91c68e62844ea197735237e0/-/horizon-files-prod/ed/picture/qgq9dxzn/74d849707e89480f9a102d519f46dbe5f1eef0a0.jpg
Studios meublés haut standing aux Maristes,"Hann maristes, Dakar",,,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f87dffae9b37f6d82d87a8791c5172a8/-/horizon-files-prod/ed/picture/qrz8dqkm/9d1916d847fda7fdd762d1d5944ebca8f035ace6.jpg
Ref_3311_GL F2 meublé à louer sur la route du King Fahd,"Almadies, Dakar",1 chambre,,1 250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e4e64f3469857982b50a7f6abc6945de/-/horizon-files-prod/ed/picture/q2jk8znk/e15edd04a391fe5680f986f78790d2da5cfbd9d9.jpg
Joli studio ngor plage,"Ngor, Dakar",1 chambre,,40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/95d332f15dd357e3d690655a0755f04b/-/horizon-files-prod/ed/picture/qng9p2d9/ef27ded5bd2e6111be2ead5128d6938aa459caaa.jpg
STUDIO MEUBLÉ A LOUER SICAP FOIRE,"Sicap foire, Dakar",1 chambre,80 m²,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1154ecd3a9f9a66eedfc4e380acff6d2/-/horizon-files-prod/ed/picture/q44nmr65/c91752cae9136742a0d9823e95c7db6c6f176ca8.jpg
Studios meublés à louer VDN,"Liberte 6, Dakar",,,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f53210fc345d32541ae4ee0fc5d8677a/-/horizon-files-prod/ed/picture/qzv400gd/3cb6f87661c7bae7b5890c1cfe965c69b0e4a8b3.jpg
Appartements meublés à louer VDN LIBERTÉ 6,"Liberte 6, Dakar",2 chambre,,50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1e139d9593dff3f33ed8440ce352abc8/-/horizon-files-prod/ed/picture/q44dgvd2/c174b12e5fe21067d660aecce7de58ae0eb1a55f.jpg
Chambre meublée à Ouest foire,"Ouest foire, Dakar",1 chambre,25 m²,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/874de9fe3e522cf5cc5ec99bfc0f6f77/-/horizon-files-prod/ed/picture/qk9mx6v/05b0fc6e1b8ba63bcb57c36fbf9307f8075119b2.jpg
Chambre meublée,"Sicap foire, Dakar",12 chambre,15 m²,12 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/adde9ce20f296640e6d66759da709e73/-/horizon-files-prod/ed/picture/qj444w7d/470cdf559131c0f6346d5bd646fe1b136fe49e2c.jpg
Appartement meublé à louer à Sicap Foire,"Grand-Yoff, Dakar",6 chambre,,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/06058192bbce443446c6deb1784b9281/-/horizon-files-prod/ed/picture/migrated/qvg04zw/3bf02f49fc2490f8435bd599889324e9ea045beb.jpg
studio a louer par nuitée par jour,"Virage, Dakar",1 chambre,50 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d8a5175527dfe6eeda97b26bee9c0308/-/horizon-files-prod/ed/picture/q6xq7mg4/9428c0ec32675caeada41a54fe6633c1056440e6.jpg
chambre meublée a louer par nuitée par jours,"Virage, Dakar",5 chambre,18 m²,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/553cb3e5d2937a38291d2b82d4b66f54/-/horizon-files-prod/ed/picture/q56pw5eg/cb40971c75697bd7cc37c6685a1dbaeaf9d0be3e.jpg
Chambre meublée à louer par jours/nuitée,"Almadies, Dakar",6 chambre,20 m²,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5400b7246dbcea2767ef7a544bda44ab/-/horizon-files-prod/ed/picture/qz7n4vg/c36cf8e0f5fa80bf69d6d1c1bab569972076ea63.jpg
STUDIO MEUBLÉ CLIMATISÉ A LOUER PAR JOURS,"Cité keur gorgui, Dakar",1 chambre,87 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/45c44c481acc3689f7bdf3b76c13edab/-/horizon-files-prod/ed/picture/qwe2jx40/f9b255daa40f4a0a5bcef2eced263b30edb59133.jpg
chambre meublée à louer par nuitée,"Cité keur gorgui, Dakar",20 chambre,14 m²,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d1b893d804b5bda35326034702ec6ca/-/horizon-files-prod/ed/picture/q9m9gd25/823044fce3de8c194892e123215c148af40b5cbf.jpg
Appartement à louer à Sacré Coeur,"Mermoz, Dakar",1 chambre,,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e6aa3237c9d91f54f76352f43945f4c0/-/horizon-files-prod/ed/picture/migrated/qernjwx/86c2c0738d3749cd02e8f4f8cac3ed926e48d069.jpg
Appartement meublé à NGOR ALMADIES,"Almadies 2, Dakar",,,150 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7ab20a37952161ba4e90d2076e2e07f1/-/horizon-files-prod/ed/picture/qq4z9pm7/b55ae690c9f14d432e844b52d46b489c9a46565f.jpg
Studio meublé à louer à Ouest Foire,"Yoff, Dakar",2 chambre,,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0d9f5e4185f8ce608948d1d755bdea7b/-/horizon-files-prod/ed/picture/migrated/qn7jk4m/2293da9bb74dfd43ad71545edc283c0692a072ad.jpg
"Mariste , Appartement meublé de Luxe","Hann maristes, Dakar",3 chambre,,50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3b6cd8330a4aabfe553813cede67330d/-/horizon-files-prod/ed/picture/qq4zqkgz/3956ef41b30a96cf72354055b534363664fb8f0b.jpg
Appartement Meublé 2 Chambres – Clean & Cosy,"Mamelles, Dakar",2 chambre,160 m²,40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d7b7d9998f1d084b08ce47c7f0ad3388/-/horizon-files-prod/ed/picture/qwer2nxd/14ca76ff0a747cad6675a8612edb0956a36d70b3.jpg
Magnifique appartement aux Mamelles,"Mamelles, Dakar",2 chambre,150 m²,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5fe9661f456888bca4cf4572eb58d16/-/horizon-files-prod/ed/picture/q7rd6vj/995e1c13f6694dc75b30a9a81d34801625a7864d.jpg
F2 MEUBLE A LOUER / STUDIO,"Cité keur gorgui, Dakar",1 chambre,,56 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13247afbdd219403ee32fc508a6f3a3e/-/horizon-files-prod/ed/picture/qxj8jkx2/6224e4e944be1e83959281b82c784db81123b82c.jpg
Appartement meublé rez de chaussée,"Cite Mixta, Dakar",2 chambre,75 m²,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/90b9fc43ccde818a9b63125c12d0aaef/-/horizon-files-prod/ed/picture/q8v5p27j/3f67cc1b0576cee1fc87e94a740a3f92a8356674.jpg
"Appartement meublé, sécurisé, climatisé F4 à Ngor Extension","Almadies, Dakar",3 chambre,150 m²,900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a48cd5c7324222766c8da53b7f894a8/-/horizon-files-prod/ed/picture/qpdg670m/4a2896a47aa43e8d469cfdc3c013960cd7e2cc3c.jpg
trois appartements meublé a la location cite keur gorgui,"Cité keur gorgui, Dakar",3 chambre,,1 400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/51c63224bc8f2ca79752eed99e9ba6b8/-/horizon-files-prod/ed/picture/qenr96e2/0d89d9de9e81648e3c6fffce64706260deaba65d.png
Appartement Meublé avec Terrasse & Piscine – Almadies,"Almadies, Dakar",2 chambre,,1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/81e25ea52e4038db5d9dd2f17675c90d/-/horizon-files-prod/ed/picture/q8v477nj/330b1a99cacfa2cc534ef2934a5144bae34aeaed.jpg
Ref_3310_GL – Appartement de standing à louer – Almadies,"Almadies, Dakar",3 chambre,,2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/938a693c9c1f2828dd2ce82e574bb5b5/-/horizon-files-prod/ed/picture/qxj8g5q4/bbd057b03256556894dc182e428be7a1c0795b6f.jpg
STUDIO MEUBLÉ À LOUER,"Sicap Liberté, Dakar",,,22 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3be584b8b26add01d8f94bec2312d83e/-/horizon-files-prod/ed/picture/migrated/qn79jkv/3930d2a803118f761115e2e729036752af034ad1.jpg
Grand studio meublé,"Hann maristes, Dakar",1 chambre,100 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f8c2dcffe1d96de01ac987108fb9f2d4/-/horizon-files-prod/ed/picture/q6xdz5qg/a6c2a3f88f8eb60e32d59005bef3b2990a2ac4db.jpg
appartement à vendre mermoz pyrotechnie 2 chambres salon,"Mermoz, Dakar",2 chambre,142 m²,85 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d12d10ff0305caacaeb46f38ccf6a6f8/-/horizon-files-prod/ed/picture/qgqmq6eq/8456ec935adc200dde644e6b7c553d366b1ae686.jpg
Appartement meublé type F4 Sicap Foire,"Sicap foire, Dakar",3 chambre,220 m²,90 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9c6a66a8f6e9486983c0963a8b20d9c8/-/horizon-files-prod/ed/picture/qwdz8v0/a02df722d1bf629e20e9761f215db3b7b1d90481.jpg
